Volume_mL,pH,Ionic_Strength,Buffer_Capacity,Component_1_Name,Component_1_pKa,Component_1_Total_Conc_M,Component_1_Initial_Form,Component_1_Counter_Ion_Charge,Component_Type,Component_Name,Concentration_M
-0.0,8.380348208027762,0.010000004293199668,5.510251988339495e-06,acetate,4.76,0.01,A-,1,single,acetate,0.01
-0.1,6.531543319230317,0.009967071353572797,0.0003751144757477694,acetate,4.76,0.01,A-,1,single,acetate,0.01
-0.2,6.223187556054525,0.009934372987620704,0.0007349548650488776,acetate,4.76,0.01,A-,1,single,acetate,0.01
-0.30000000000000004,6.0395872274915465,0.00990190299218895,0.0010798159347088802,acetate,4.76,0.01,A-,1,single,acetate,0.01
-0.4,5.906999260245835,0.009869659851294513,0.0014098271009878654,acetate,4.76,0.01,A-,1,single,acetate,0.01
-0.5,5.802301047816288,0.009837642091910834,0.0017251319976830427,acetate,4.76,0.01,A-,1,single,acetate,0.01
-0.6,5.715189095282181,0.009805848254466051,0.0020258753466590534,acetate,4.76,0.01,A-,1,single,acetate,0.01
-0.7,5.640164440777468,0.009774277053141628,0.00231220050309942,acetate,4.76,0.01,A-,1,single,acetate,0.01
-0.7999999999999999,5.573941958544583,0.00974292695551478,0.002584250533979736,acetate,4.76,0.01,A-,1,single,acetate,0.01
-0.8999999999999999,5.514400734219347,0.009711797021540645,0.0028421651566361145,acetate,4.76,0.01,A-,1,single,acetate,0.01
-0.9999999999999999,5.4600901665077535,0.009680886011054865,0.0030860838700337606,acetate,4.76,0.01,A-,1,single,acetate,0.01
-1.0999999999999999,5.4099735607821815,0.009650192939824265,0.0033161440626202137,acetate,4.76,0.01,A-,1,single,acetate,0.01
-1.2,5.363283339323709,0.009619716896834458,0.0035324816907342043,acetate,4.76,0.01,A-,1,single,acetate,0.01
-1.3,5.319434499494616,0.009589457074028633,0.0037352312372420883,acetate,4.76,0.01,A-,1,single,acetate,0.01
-1.4000000000000001,5.2779702155287,0.00955941278895562,0.0039245257156601265,acetate,4.76,0.01,A-,1,single,acetate,0.01
-1.5000000000000002,5.238526205179742,0.009529583442200177,0.0041004968446973124,acetate,4.76,0.01,A-,1,single,acetate,0.01
-1.6000000000000003,5.200806729264777,0.009499968749679266,0.004263274587555222,acetate,4.76,0.01,A-,1,single,acetate,0.01
-1.7000000000000004,5.164567576288978,0.009470568325690064,0.004412988204187474,acetate,4.76,0.01,A-,1,single,acetate,0.01
-1.8000000000000005,5.1296042575672605,0.009441382124564052,0.004549765324665574,acetate,4.76,0.01,A-,1,single,acetate,0.01
